"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2021,"Marsh, Brandon",108,"L",257,93,"36.2",".331",164,"63.8",".278"
2021,"Suzuki, Kurt",108,"R",243,88,"36.2",".353",155,"63.8",".246"
2021,"Trout, Mike",108,"R",132,77,"58.3",".452",55,"41.7",".400"
2021,"Rengifo, Luis",108,"L",131,54,"41.2",".158",77,"58.8",".309"
2021,"Walsh, Jared",108,"L",567,400,"70.5",".350",167,"29.5",".371"
2021,"Rojas, Jose",108,"L",181,135,"74.6",".286",46,"25.4",".329"
2021,"Ohtani, Shohei",108,"L",609,459,"75.4",".381",150,"24.6",".435"
2021,"Upton, Justin",108,"R",353,153,"43.3",".333",200,"56.7",".294"
2021,"Stassi, Max",108,"R",313,70,"22.4",".327",243,"77.6",".332"
2021,"Marte, Ketel",109,"L",259,114,"44.0",".339",145,"56.0",".345"
2021,"Kelly, Carson",109,"R",358,112,"31.3",".294",246,"68.7",".344"
2021,"Varsho, Daulton",109,"L",312,146,"46.8",".323",166,"53.2",".321"
2021,"Smith, Pavin",109,"L",544,193,"35.5",".266",351,"64.5",".347"
2021,"Calhoun, Kole",109,"L",182,175,"96.2",".294",7,"3.8",".251"
2021,"Walker, Christian",109,"R",444,58,"13.1",".387",386,"86.9",".291"
2021,"Reddick, Josh",109,"L",158,92,"58.2",".278",66,"41.8",".289"
2021,"Ahmed, Nick",109,"R",470,69,"14.7",".237",401,"85.3",".274"
2021,"Peralta, David",109,"L",535,212,"39.6",".312",323,"60.4",".315"
2021,"Rojas, Josh",109,"L",549,189,"34.4",".347",360,"65.6",".317"
2021,"VanMeter, Josh",109,"L",310,233,"75.2",".252",77,"24.8",".390"
2021,"Rosario, Eddie",144,"L",412,310,"75.2",".310",102,"24.8",".336"
2021,"Ozuna, Marcell",144,"R",204,91,"44.6",".338",113,"55.4",".235"
2021,"Vogt, Stephen",144,"L",236,153,"64.8",".268",83,"35.2",".272"
2021,"Soler, Jorge",144,"R",601,393,"65.4",".340",208,"34.6",".292"
2021,"Pederson, Joc",144,"L",477,333,"69.8",".291",144,"30.2",".367"
2021,"Duvall, Adam",144,"R",554,315,"56.9",".337",239,"43.1",".308"
2021,"Swanson, Dansby",144,"R",643,265,"41.2",".330",378,"58.8",".318"
2021,"Riley, Austin",144,"R",654,214,"32.7",".366",440,"67.3",".383"
2021,"Freeman, Freddie",144,"L",673,488,"72.5",".361",185,"27.5",".433"
2021,"Albies, Ozzie",144,"L",501,412,"82.2",".321",89,"17.8",".270"
2021,"Acuña Jr., Ronald",144,"R",352,204,"58.0",".373",148,"42.0",".469"
2021,"Albies, Ozzie",144,"R",180,89,"49.4",".333",91,"50.6",".481"
2021,"Almonte, Abraham",144,"L",142,96,"67.6",".376",46,"32.4",".297"
2021,"Contreras, William",144,"R",180,39,"21.7",".323",141,"78.3",".295"
2021,"Adrianza, Ehire",144,"L",151,52,"34.4",".258",99,"65.6",".352"
2021,"Severino, Pedro",110,"R",417,185,"44.4",".304",232,"55.6",".294"
2021,"Mancini, Trey",110,"R",612,27,"4.4",".400",585,"95.6",".322"
2021,"Franco, Maikel",110,"R",403,75,"18.6",".290",328,"81.4",".256"
2021,"Santander, Anthony",110,"L",279,164,"58.8",".349",115,"41.2",".253"
2021,"Mullins, Cedric",110,"L",668,301,"45.1",".356",367,"54.9",".380"
2021,"Hays, Austin",110,"R",525,82,"15.6",".345",443,"84.4",".326"
2021,"Stewart, DJ",110,"L",317,257,"81.1",".312",60,"18.9",".299"
2021,"Devers, Rafael",111,"L",653,301,"46.1",".352",352,"53.9",".392"
2021,"Martinez, J.D.",111,"R",623,103,"16.5",".358",520,"83.5",".361"
2021,"Renfroe, Hunter",111,"R",570,389,"68.2",".376",181,"31.8",".278"
2021,"Verdugo, Alex",111,"L",592,284,"48.0",".345",308,"52.0",".318"
2021,"Dalbec, Bobby",111,"R",447,99,"22.1",".287",348,"77.9",".346"
2021,"Shaw, Travis",111,"L",250,151,"60.4",".292",99,"39.6",".283"
2021,"Cordero, Franchy",111,"L",133,105,"78.9",".206",28,"21.1",".260"
2021,"Hernández, Enrique",111,"R",579,182,"31.4",".318",397,"68.6",".342"
2021,"Schwarber, Kyle",111,"L",467,379,"81.2",".385",88,"18.8",".435"
2021,"Duran, Jarren",111,"L",112,30,"26.8",".163",82,"73.2",".278"
2021,"Alcántara, Sergio",112,"L",170,45,"26.5",".330",125,"73.5",".295"
2021,"Sogard, Eric",112,"L",179,41,"22.9",".295",138,"77.1",".249"
2021,"Happ, Ian",112,"L",406,233,"57.4",".323",173,"42.6",".356"
2021,"Wisdom, Patrick",112,"R",373,117,"31.4",".377",256,"68.6",".330"
2021,"Ortega, Rafael",112,"L",329,152,"46.2",".356",177,"53.8",".354"
2021,"Heyward, Jason",112,"L",348,250,"71.8",".249",98,"28.2",".344"
2021,"Schwindel, Frank",112,"R",257,23,"8.9",".347",234,"91.1",".409"
2021,"India, Jonathan",113,"R",630,102,"16.2",".426",528,"83.8",".350"
2021,"Winker, Jesse",113,"L",484,303,"62.6",".421",181,"37.4",".374"
2021,"Naquin, Tyler",113,"L",452,227,"50.2",".329",225,"49.8",".362"
2021,"Stephenson, Tyler",113,"R",401,34,"8.5",".332",367,"91.5",".347"
2021,"Suárez, Eugenio",113,"R",574,317,"55.2",".301",257,"44.8",".313"
2021,"Farmer, Kyle",113,"R",528,119,"22.5",".323",409,"77.5",".314"
2021,"Cabrera, Asdrúbal",113,"L",229,191,"83.4",".293",38,"16.6",".259"
2021,"Aquino, Aristides",113,"R",202,48,"23.8",".185",154,"76.2",".339"
2021,"Moustakas, Mike",113,"L",206,129,"62.6",".288",77,"37.4",".277"
