"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2016,"Grichuk, Randal",138,"R",468,96,"20.5",".393",372,"79.5",".310"
2016,"Kiermaier, Kevin",139,"L",406,67,"16.5",".266",339,"83.5",".341"
2016,"Casali, Curt",139,"R",251,27,"10.8",".215",224,"89.2",".280"
2016,"Franklin, Nick",139,"L",148,56,"37.8",".427",92,"62.2",".320"
2016,"Forsythe, Logan",139,"R",559,66,"11.8",".371",493,"88.2",".326"
2016,"Conger, Hank",139,"L",127,88,"69.3",".222",39,"30.7",".296"
2016,"Longoria, Evan",139,"R",668,134,"20.1",".463",534,"79.9",".325"
2016,"Dickerson, Corey",139,"L",531,93,"17.5",".463",438,"82.5",".285"
2016,"Morrison, Logan",139,"L",388,229,"59.0",".293",159,"41.0",".359"
2016,"Miller, Brad",139,"L",590,63,"10.7",".357",527,"89.3",".328"
2016,"Fielder, Prince",140,"L",360,202,"56.1",".303",158,"43.9",".253"
2016,"Beltrán, Carlos",140,"R",153,30,"19.6",".480",123,"80.4",".386"
2016,"Beltrán, Carlos",140,"L",419,250,"59.7",".366",169,"40.3",".299"
2016,"Moreland, Mitch",140,"L",489,385,"78.7",".289",104,"21.3",".373"
2016,"Beltré, Adrian",140,"R",625,32,"5.1",".561",593,"94.9",".364"
2016,"Odor, Rougned",140,"L",622,186,"29.9",".371",436,"70.1",".322"
2016,"Mazara, Nomar",140,"L",564,70,"12.4",".286",494,"87.6",".325"
2016,"Choo, Shin-Soo",140,"L",204,119,"58.3",".338",85,"41.7",".349"
2016,"Bautista, José",141,"R",510,83,"16.3",".263",427,"83.7",".364"
2016,"Saunders, Michael",141,"L",544,233,"42.8",".324",311,"57.2",".351"
2016,"Tulowitzki, Troy",141,"R",539,98,"18.2",".358",441,"81.8",".321"
2016,"Navarro, Dioner",141,"L",229,80,"34.9",".217",149,"65.1",".272"
2016,"Encarnación, Edwin",141,"R",687,305,"44.4",".386",382,"55.6",".356"
2016,"Smoak, Justin",141,"L",241,172,"71.4",".327",69,"28.6",".329"
2016,"Donaldson, Josh",141,"R",681,115,"16.9",".467",566,"83.1",".386"
2016,"Upton, B.J.",141,"R",531,27,"5.1",".399",504,"94.9",".290"
2016,"Drew, Stephen",120,"L",150,46,"30.7",".473",104,"69.3",".312"
2016,"Robinson, Clint",120,"L",209,50,"23.9",".256",159,"76.1",".277"
2016,"Murphy, Daniel",120,"L",553,37,"6.7",".521",516,"93.3",".405"
2016,"Espinosa, Danny",120,"L",440,35,"8.0",".284",405,"92.0",".289"
2016,"Harper, Bryce",120,"L",582,163,"28.0",".315",419,"72.0",".341"
2016,"Simmons, Andrelton",108,"R",470,0,"0.0",".000",470,"100.0",".298"
2016,"Robinson, Shane",108,"R",108,0,"0.0",".000",108,"100.0",".221"
2016,"Petit, Gregorio",108,"R",213,0,"0.0",".000",213,"100.0",".271"
2016,"Gosselin, Phil",109,"R",235,0,"0.0",".000",235,"100.0",".305"
2016,"Owings, Chris",109,"R",452,0,"0.0",".000",452,"100.0",".309"
2016,"Flowers, Tyler",144,"R",312,0,"0.0",".000",312,"100.0",".337"
2016,"Inciarte, Ender",144,"L",564,0,"0.0",".000",564,"100.0",".322"
2016,"Swanson, Dansby",144,"R",137,0,"0.0",".000",137,"100.0",".341"
2016,"Smith, Mallex",144,"L",211,0,"0.0",".000",211,"100.0",".298"
2016,"Zobrist, Ben",112,"R",161,0,"0.0",".000",161,"100.0",".371"
2016,"Fowler, Dexter",112,"R",142,0,"0.0",".000",142,"100.0",".385"
2016,"De Jesús Jr., Iván",113,"R",240,0,"0.0",".000",240,"100.0",".279"
2016,"Holt, Tyler",113,"R",205,0,"0.0",".000",205,"100.0",".280"
2016,"Peraza, José",113,"R",253,0,"0.0",".000",253,"100.0",".332"
2016,"Cabrera, Ramón",113,"L",138,0,"0.0",".000",138,"100.0",".287"
2016,"Hamilton, Billy",113,"R",122,0,"0.0",".000",122,"100.0",".249"
2016,"Hamilton, Billy",113,"L",329,0,"0.0",".000",329,"100.0",".313"
2016,"Uribe, Juan",114,"R",249,0,"0.0",".000",249,"100.0",".252"
2016,"Almonte, Abraham",114,"L",118,0,"0.0",".000",118,"100.0",".279"
2016,"Wolters, Tony",115,"L",224,0,"0.0",".000",224,"100.0",".318"
2016,"Adames, Cristhian",115,"L",172,0,"0.0",".000",172,"100.0",".280"
2016,"LeMahieu, DJ",115,"R",620,0,"0.0",".000",620,"100.0",".392"
2016,"Barnes, Brandon",115,"R",107,0,"0.0",".000",107,"100.0",".252"
2016,"Eaton, Adam",145,"L",694,0,"0.0",".000",694,"100.0",".343"
2016,"Sánchez, Yolmer",145,"L",117,0,"0.0",".000",117,"100.0",".281"
2016,"Anderson, Tim",145,"R",427,0,"0.0",".000",427,"100.0",".310"
2016,"Iglesias, Jose",116,"R",505,0,"0.0",".000",505,"100.0",".283"
2016,"Aybar, Erick",116,"R",111,0,"0.0",".000",111,"100.0",".224"
2016,"Aybar, Erick",116,"L",331,0,"0.0",".000",331,"100.0",".284"
2016,"Aviles, Mike",116,"R",178,0,"0.0",".000",178,"100.0",".240"
2016,"Maybin, Cameron",116,"R",386,0,"0.0",".000",386,"100.0",".350"
2016,"Gurriel, Yuli",117,"R",136,0,"0.0",".000",136,"100.0",".294"
2016,"Bregman, Alex",117,"R",216,0,"0.0",".000",216,"100.0",".333"
2016,"Merrifield, Whit",118,"R",328,0,"0.0",".000",328,"100.0",".309"
2016,"Butera, Drew",118,"R",132,0,"0.0",".000",132,"100.0",".332"
2016,"Colón, Christian",118,"R",160,0,"0.0",".000",160,"100.0",".266"
2016,"Infante, Omar",118,"R",147,0,"0.0",".000",147,"100.0",".264"
2016,"Burns, Billy",118,"L",237,0,"0.0",".000",237,"100.0",".233"
2016,"Dyson, Jarrod",118,"L",327,0,"0.0",".000",327,"100.0",".315"
2016,"Orlando, Paulo",118,"R",475,0,"0.0",".000",475,"100.0",".313"
2016,"Hernández, Enrique",119,"R",241,0,"0.0",".000",241,"100.0",".267"
2016,"Strange-Gordon, Dee",146,"L",335,0,"0.0",".000",335,"100.0",".271"
2016,"Johnson, Chris",146,"R",253,0,"0.0",".000",253,"100.0",".273"
2016,"Rojas, Miguel",146,"R",206,0,"0.0",".000",206,"100.0",".265"
2016,"Hechavarría, Adeiny",146,"R",521,0,"0.0",".000",521,"100.0",".257"
2016,"Suzuki, Ichiro",146,"L",360,0,"0.0",".000",360,"100.0",".319"
2016,"Mathis, Jeff",146,"R",131,0,"0.0",".000",131,"100.0",".257"
2016,"Villar, Jonathan",158,"R",187,0,"0.0",".000",187,"100.0",".389"
2016,"Villar, Jonathan",158,"L",479,0,"0.0",".000",479,"100.0",".342"
2016,"Arcia, Orlando",158,"R",213,0,"0.0",".000",213,"100.0",".274"
2016,"Flores, Wilmer",121,"R",331,0,"0.0",".000",331,"100.0",".332"
2016,"Reyes, José",121,"L",222,0,"0.0",".000",222,"100.0",".288"
2016,"Plawecki, Kevin",121,"R",145,0,"0.0",".000",145,"100.0",".262"
2016,"Lagares, Juan",121,"R",159,0,"0.0",".000",159,"100.0",".294"
2016,"Cabrera, Asdrúbal",121,"R",120,0,"0.0",".000",120,"100.0",".351"
2016,"Refsnyder, Rob",147,"R",170,0,"0.0",".000",170,"100.0",".278"
2016,"Herrera, Odúbel",143,"L",632,0,"0.0",".000",632,"100.0",".335"
2016,"Bourjos, Peter",143,"R",371,0,"0.0",".000",371,"100.0",".291"
2016,"Galvis, Freddy",143,"L",459,0,"0.0",".000",459,"100.0",".299"
2016,"Blanco, Andrés",143,"L",163,0,"0.0",".000",163,"100.0",".322"
2016,"Galvis, Freddy",143,"R",143,0,"0.0",".000",143,"100.0",".236"
2016,"Hernández, César",143,"R",148,0,"0.0",".000",148,"100.0",".345"
2016,"Ellis, A.J.",143,"R",190,0,"0.0",".000",190,"100.0",".263"
2016,"Hernández, César",143,"L",457,0,"0.0",".000",457,"100.0",".334"
2016,"Goeddel, Tyler",143,"R",230,0,"0.0",".000",230,"100.0",".243"
2016,"Fryer, Eric",134,"R",126,0,"0.0",".000",126,"100.0",".284"
2016,"Stewart, Chris",134,"R",109,0,"0.0",".000",109,"100.0",".268"
2016,"Frazier, Adam",134,"L",147,0,"0.0",".000",147,"100.0",".343"
2016,"Jankowski, Travis",135,"L",377,0,"0.0",".000",377,"100.0",".294"
2016,"Sardinas, Luis",135,"L",124,0,"0.0",".000",124,"100.0",".227"
2016,"Amarista, Alexi",135,"L",143,0,"0.0",".000",143,"100.0",".251"
2016,"O'Malley, Shawn",136,"R",103,0,"0.0",".000",103,"100.0",".275"
2016,"O'Malley, Shawn",136,"L",125,0,"0.0",".000",125,"100.0",".271"
2016,"Heredia, Guillermo",136,"R",104,0,"0.0",".000",104,"100.0",".304"
2016,"Pence, Hunter",137,"R",421,0,"0.0",".000",421,"100.0",".349"
2016,"Tomlinson, Kelby",137,"R",113,0,"0.0",".000",113,"100.0",".323"
2016,"Beckham, Gordon",137,"R",268,0,"0.0",".000",268,"100.0",".279"
2016,"Williamson, Mac",137,"R",126,0,"0.0",".000",126,"100.0",".320"
2016,"Molina, Yadier",138,"R",568,0,"0.0",".000",568,"100.0",".343"
2016,"Maile, Luke",139,"R",124,0,"0.0",".000",124,"100.0",".252"
2016,"Ramirez, Alexei",139,"R",491,0,"0.0",".000",491,"100.0",".264"
2016,"Carrera, Ezequiel",141,"L",307,0,"0.0",".000",307,"100.0",".304"
2016,"Travis, Devon",141,"R",424,0,"0.0",".000",424,"100.0",".336"
2016,"Ortega, Rafael",108,"L",183,1,"0.5",".000",182,"99.5",".250"
2016,"Escobar, Yunel",108,"R",548,1,"0.2",".000",547,"99.8",".321"
2016,"Segura, Jean",109,"R",663,1,"0.2",".878",662,"99.8",".369"
2016,"d'Arnaud, Chase",144,"R",253,1,"0.4",".000",252,"99.6",".285"
2016,"García, Adonis",144,"R",549,1,"0.2",".000",548,"99.8",".311"
2016,"Castro, Daniel",144,"R",135,1,"0.7",".000",134,"99.3",".207"
2016,"Vázquez, Christian",111,"R",179,1,"0.6",".691",178,"99.4",".255"
2016,"Hanigan, Ryan",111,"R",107,1,"0.9",".000",106,"99.1",".211"
2016,"Pedroia, Dustin",111,"R",684,1,"0.1",".000",683,"99.9",".362"
2016,"Phillips, Brandon",113,"R",567,1,"0.2",".721",566,"99.8",".316"
2016,"Pérez, Roberto",114,"R",180,1,"0.6",".000",179,"99.4",".265"
2016,"Lindor, Francisco",114,"L",455,1,"0.2",".000",454,"99.8",".352"
2016,"Dahl, David",115,"L",234,1,"0.4",".878",233,"99.6",".360"
2016,"Cabrera, Melky",145,"R",129,1,"0.8",".000",128,"99.2",".347"
2016,"Romine, Andrew",116,"L",147,1,"0.7",".000",146,"99.3",".288"
2016,"Hernández, Teoscar",117,"R",110,1,"0.9",".000",109,"99.1",".314"
2016,"Cain, Lorenzo",118,"R",427,1,"0.2",".878",426,"99.8",".318"
2016,"Kendrick, Howie",119,"R",527,1,"0.2",".000",526,"99.8",".303"
2016,"Ruiz, Carlos",119,"R",228,1,"0.4",".000",227,"99.6",".328"
2016,"Flores, Ramón",158,"L",282,1,"0.4",".000",281,"99.6",".247"
2016,"Pérez, Hernán",158,"R",426,1,"0.2",".000",425,"99.8",".313"
2016,"Grossman, Robbie",142,"R",139,1,"0.7",".878",138,"99.3",".420"
2016,"Santana, Danny",142,"L",189,1,"0.5",".878",188,"99.5",".285"
2016,"Wright, David",121,"R",157,1,"0.6",".691",156,"99.4",".344"
2016,"d'Arnaud, Travis",121,"R",270,1,"0.4",".000",269,"99.6",".281"
2016,"Rivera, T.J.",121,"R",113,1,"0.9",".878",112,"99.1",".341"
2016,"Altherr, Aaron",143,"R",223,1,"0.4",".878",222,"99.6",".265"
2016,"Cervelli, Francisco",134,"R",373,1,"0.3",".000",372,"99.7",".317"
2016,"Aoki, Norichika",136,"L",448,1,"0.2",".000",447,"99.8",".328"
2016,"Marte, Ketel",136,"R",144,1,"0.7",".000",143,"99.3",".228"
2016,"Pagán, Ángel",137,"R",175,1,"0.6","1.569",174,"99.4",".300"
2016,"Pham, Tommy",138,"R",181,1,"0.6",".878",180,"99.4",".329"
2016,"Duffy, Matt",139,"R",360,1,"0.3",".691",359,"99.7",".288"
2016,"Werth, Jayson",120,"R",583,1,"0.2",".691",582,"99.8",".315"
2016,"Cron, C.J.",108,"R",420,2,"0.5",".000",418,"99.5",".346"
2016,"Giavotella, Johnny",108,"R",346,2,"0.6",".000",344,"99.4",".281"
2016,"Peterson, Jace",144,"L",395,2,"0.5",".000",393,"99.5",".319"
2016,"Bourn, Michael",110,"L",405,2,"0.5",".439",403,"99.5",".293"
2016,"Almora Jr., Albert",112,"R",106,2,"1.9",".785",104,"98.1",".295"
2016,"Contreras, Willson",112,"R",273,2,"0.7",".000",271,"99.3",".367"
2016,"Gimenez, Chris",114,"R",151,2,"1.3",".621",149,"98.7",".259"
2016,"Jackson, Austin",145,"R",202,2,"1.0",".000",200,"99.0",".292"
2016,"Cuthbert, Cheslor",118,"R",505,2,"0.4",".000",503,"99.6",".317"
2016,"Francoeur, Jeff",146,"R",320,2,"0.6",".000",318,"99.4",".298"
2016,"Centeno, Juan",142,"L",190,2,"1.1",".439",188,"98.9",".299"
2016,"Torreyes, Ronald",147,"R",164,2,"1.2",".000",162,"98.8",".300"
2016,"Romine, Austin",147,"R",167,2,"1.2",".000",165,"98.8",".266"
2016,"Eibner, Brett",133,"R",206,2,"1.0",".000",204,"99.0",".262"
2016,"Pagán, Ángel",137,"L",349,2,"0.6","1.060",347,"99.4",".323"
2016,"Brown, Trevor",137,"R",179,2,"1.1",".878",177,"98.9",".273"
2016,"Jennings, Desmond",139,"R",218,2,"0.9",".000",216,"99.1",".276"
2016,"Mahtook, Mikie",139,"R",193,2,"1.0",".000",191,"99.0",".235"
2016,"Barney, Darwin",141,"R",295,2,"0.7",".621",293,"99.3",".299"
2016,"Goins, Ryan",141,"L",192,2,"1.0",".345",190,"99.0",".219"
2016,"Tomás, Yasmany",109,"R",543,3,"0.6",".000",540,"99.4",".343"
2016,"Ahmed, Nick",109,"R",295,3,"1.0",".000",292,"99.0",".250"
2016,"Szczur, Matt",112,"R",193,3,"1.6",".964",190,"98.4",".292"
2016,"Parra, Gerardo",115,"L",372,3,"0.8",".293",369,"99.2",".278"
2016,"Lawrie, Brett",145,"R",374,3,"0.8",".293",371,"99.2",".313"
2016,"Presley, Alex",116,"L",129,3,"2.3",".523",126,"97.7",".234"
2016,"Escobar, Alcides",118,"R",672,3,"0.4",".230",669,"99.6",".277"
2016,"Toles, Andrew",119,"L",111,3,"2.7",".293",108,"97.3",".374"
2016,"Yelich, Christian",146,"L",631,3,"0.5",".293",628,"99.5",".364"
2016,"Walker, Neil",121,"R",109,3,"2.8",".293",106,"97.2",".423"
2016,"Rivera, René",121,"R",201,3,"1.5",".707",198,"98.5",".271"
2016,"Mercer, Jordy",134,"R",553,3,"0.5",".672",550,"99.5",".303"
2016,"Harrison, Josh",134,"R",507,3,"0.6",".460",504,"99.4",".300"
2016,"Freese, David",134,"R",472,3,"0.6",".230",469,"99.4",".324"
2016,"Solarte, Yangervis",135,"R",105,3,"2.9",".000",102,"97.1",".340"
2016,"Blanco, Grégor",137,"L",260,3,"1.2",".293",257,"98.8",".273"
2016,"Holliday, Matt",138,"R",418,3,"0.7",".230",415,"99.3",".334"
2016,"DeShields, Delino",140,"R",195,3,"1.5",".230",192,"98.5",".265"
2016,"Andrus, Elvis",140,"R",560,3,"0.5",".523",557,"99.5",".344"
2016,"Pillar, Kevin",141,"R",572,3,"0.5",".586",569,"99.5",".298"
2016,"Ramos, Wilson",120,"R",508,3,"0.6",".230",505,"99.4",".361"
2016,"Revere, Ben",120,"L",361,3,"0.8",".000",358,"99.2",".248"
2016,"Heisey, Chris",120,"R",144,3,"2.1",".000",141,"97.9",".321"
2016,"Ramírez, José",114,"L",426,4,"0.9",".220",422,"99.1",".352"
2016,"Naquin, Tyler",114,"L",360,4,"1.1",".220",356,"98.9",".377"
2016,"Cabrera, Melky",145,"L",506,4,"0.8",".220",502,"99.2",".342"
2016,"García, Avisaíl",145,"R",448,4,"0.9",".000",444,"99.1",".302"
2016,"Narváez, Omar",145,"L",112,4,"3.6",".173",108,"96.4",".299"
2016,"McCann, James",116,"R",369,4,"1.1",".220",365,"98.9",".271"
2016,"White, Tyler",117,"R",264,4,"1.5",".392",260,"98.5",".277"
2016,"Gonzalez, Marwin",117,"R",180,4,"2.2",".392",176,"97.8",".317"
2016,"Prado, Martín",146,"R",631,4,"0.6",".220",627,"99.4",".329"
2016,"Santana, Domingo",158,"R",276,4,"1.4",".220",272,"98.6",".343"
