"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2017,"Smoak, Justin",141,"L",490,390,"79.6",".357",100,"20.4",".372"
2017,"Morales, Kendrys",141,"L",467,280,"60.0",".309",187,"40.0",".261"
2017,"Tulowitzki, Troy",141,"R",258,39,"15.1",".275",219,"84.9",".297"
2017,"Saunders, Michael",141,"L",231,91,"39.4",".232",140,"60.6",".274"
2017,"Harper, Bryce",120,"L",474,100,"21.1",".405",374,"78.9",".411"
2017,"Lind, Adam",120,"L",293,154,"52.6",".318",139,"47.4",".400"
2017,"Murphy, Daniel",120,"L",575,50,"8.7",".359",525,"91.3",".386"
2017,"Wieters, Matt",120,"L",369,88,"23.8",".258",281,"76.2",".276"
2017,"Revere, Ben",108,"L",308,0,"0.0",".000",308,"100.0",".284"
2017,"Phillips, Brandon",108,"R",593,0,"0.0",".000",593,"100.0",".312"
2017,"Simmons, Andrelton",108,"R",643,0,"0.0",".000",643,"100.0",".323"
2017,"Escobar, Yunel",108,"R",379,0,"0.0",".000",379,"100.0",".318"
2017,"Fuentes, Rey",109,"L",145,0,"0.0",".000",145,"100.0",".268"
2017,"Mathis, Jeff",109,"R",202,0,"0.0",".000",202,"100.0",".262"
2017,"Ahmed, Nick",109,"R",170,0,"0.0",".000",170,"100.0",".297"
2017,"Owings, Chris",109,"R",378,0,"0.0",".000",378,"100.0",".312"
2017,"Swanson, Dansby",144,"R",539,0,"0.0",".000",539,"100.0",".277"
2017,"García, Adonis",144,"R",178,0,"0.0",".000",178,"100.0",".271"
2017,"Inciarte, Ender",144,"L",711,0,"0.0",".000",711,"100.0",".328"
2017,"Adams, Lane",144,"R",122,0,"0.0",".000",122,"100.0",".344"
2017,"Albies, Ozzie",144,"L",184,0,"0.0",".000",184,"100.0",".331"
2017,"Ruiz, Rio",144,"L",172,0,"0.0",".000",172,"100.0",".261"
2017,"Rutledge, Josh",111,"R",118,0,"0.0",".000",118,"100.0",".255"
2017,"Marrero, Deven",111,"R",188,0,"0.0",".000",188,"100.0",".257"
2017,"Davis, Rajai",111,"R",364,0,"0.0",".000",364,"100.0",".280"
2017,"Jay, Jon",112,"L",430,0,"0.0",".000",430,"100.0",".330"
2017,"Winker, Jesse",113,"L",137,0,"0.0",".000",137,"100.0",".384"
2017,"Hamilton, Billy",113,"L",457,0,"0.0",".000",457,"100.0",".297"
2017,"Peraza, José",113,"R",513,0,"0.0",".000",513,"100.0",".271"
2017,"Hamilton, Billy",113,"R",174,0,"0.0",".000",174,"100.0",".232"
2017,"Pérez, Roberto",114,"R",247,0,"0.0",".000",247,"100.0",".288"
