"year","name","team_id","bat_side","total_pa","pa_shifts","pa_shift_percent","woba_shift","pa_non_shifts","pa_non_shift_percent","woba_non_shift"
2022,"Ward, Taylor",108,"R",564,190,"33.7",".370",374,"66.3",".358"
2022,"Rengifo, Luis",108,"L",338,206,"60.9",".269",132,"39.1",".281"
2022,"Walsh, Jared",108,"L",450,325,"72.2",".281",125,"27.8",".270"
2022,"Trout, Mike",108,"R",491,355,"72.3",".430",136,"27.7",".386"
2022,"Wade, Tyler",108,"L",163,31,"19.0",".240",132,"81.0",".248"
2022,"Velazquez, Andrew",108,"L",232,115,"49.6",".262",117,"50.4",".185"
2022,"Ford, Mike",108,"L",149,126,"84.6",".288",23,"15.4",".239"
2022,"Moniak, Mickey",108,"L",110,87,"79.1",".198",23,"20.9",".344"
2022,"Adell, Jo",108,"R",286,67,"23.4",".340",219,"76.6",".258"
2022,"Suzuki, Kurt",108,"R",159,71,"44.7",".286",88,"55.3",".228"
2022,"Stassi, Max",108,"R",375,127,"33.9",".251",248,"66.1",".262"
2022,"Ohtani, Shohei",108,"L",652,576,"88.3",".365",76,"11.7",".403"
2022,"Villar, Jonathan",108,"L",166,28,"16.9",".200",138,"83.1",".256"
2022,"Walker, Christian",109,"R",665,243,"36.5",".347",422,"63.5",".345"
2022,"Marte, Ketel",109,"L",405,261,"64.4",".295",144,"35.6",".329"
2022,"Alcántara, Sergio",109,"L",164,70,"42.7",".234",94,"57.3",".290"
2022,"Thomas, Alek",109,"L",411,187,"45.5",".260",224,"54.5",".282"
2022,"Smith, Pavin",109,"L",276,145,"52.5",".284",131,"47.5",".305"
2022,"Luplow, Jordan",109,"R",233,109,"46.8",".216",124,"53.2",".338"
2022,"Varsho, Daulton",109,"L",592,286,"48.3",".326",306,"51.7",".320"
2022,"Hummel, Cooper",109,"L",117,54,"46.2",".240",63,"53.8",".325"
2022,"Herrera, Jose",109,"L",101,57,"56.4",".230",44,"43.6",".163"
2022,"Rojas, Josh",109,"L",508,129,"25.4",".292",379,"74.6",".338"
2022,"Perdomo, Geraldo",109,"L",354,172,"48.6",".245",182,"51.4",".255"
2022,"McCarthy, Jake",109,"L",354,134,"37.9",".296",220,"62.1",".362"
2022,"Rivera, Emmanuel",109,"R",359,84,"23.4",".311",275,"76.6",".305"
2022,"Beer, Seth",109,"L",125,98,"78.4",".224",27,"21.6",".294"
2022,"Carroll, Corbin",109,"L",115,40,"34.8",".340",75,"65.2",".367"
2022,"Marte, Ketel",109,"R",149,48,"32.2",".339",101,"67.8",".352"
2022,"Kelly, Carson",109,"R",354,122,"34.5",".221",232,"65.5",".303"
2022,"Ozuna, Marcell",144,"R",505,254,"50.3",".317",251,"49.7",".278"
2022,"Duvall, Adam",144,"R",315,226,"71.7",".294",89,"28.3",".297"
2022,"Grossman, Robbie",144,"R",149,49,"32.9",".385",100,"67.1",".392"
2022,"Acuña Jr., Ronald",144,"R",529,309,"58.4",".325",220,"41.6",".350"
2022,"Harris II, Michael",144,"L",440,54,"12.3",".417",386,"87.7",".361"
2022,"Olson, Matt",144,"L",691,562,"81.3",".339",129,"18.7",".370"
2022,"Albies, Ozzie",144,"L",180,157,"87.2",".292",23,"12.8",".324"
2022,"Swanson, Dansby",144,"R",696,223,"32.0",".289",473,"68.0",".360"
2022,"Riley, Austin",144,"R",692,283,"40.9",".349",409,"59.1",".396"
2022,"Grossman, Robbie",144,"L",328,271,"82.6",".221",57,"17.4",".300"
2022,"d'Arnaud, Travis",144,"R",426,23,"5.4",".367",403,"94.6",".342"
2022,"Rosario, Eddie",144,"L",269,225,"83.6",".239",44,"16.4",".341"
2022,"Phillips, Brett",110,"L",225,198,"88.0",".215",27,"12.0",".196"
2022,"Nevin, Tyler",110,"R",184,59,"32.1",".272",125,"67.9",".255"
2022,"Vavra, Terrin",110,"L",103,40,"38.8",".263",63,"61.2",".329"
2022,"McKenna, Ryan",110,"R",171,36,"21.1",".226",135,"78.9",".294"
2022,"Mountcastle, Ryan",110,"R",602,72,"12.0",".409",530,"88.0",".307"
2022,"Chirinos, Robinson",110,"R",219,86,"39.3",".290",133,"60.7",".228"
2022,"Santander, Anthony",110,"L",464,396,"85.3",".297",68,"14.7",".391"
2022,"Aguilar, Jesús",110,"R",506,140,"27.7",".284",366,"72.3",".290"
2022,"Henderson, Gunnar",110,"L",131,87,"66.4",".366",44,"33.6",".299"
2022,"Mullins, Cedric",110,"L",661,347,"52.5",".305",314,"47.5",".332"
2022,"Hays, Austin",110,"R",575,104,"18.1",".317",471,"81.9",".313"
2022,"Rutschman, Adley",110,"L",351,282,"80.3",".383",69,"19.7",".403"
2022,"Rutschman, Adley",110,"R",114,60,"52.6",".246",54,"47.4",".260"
2022,"Odor, Rougned",110,"L",467,438,"93.8",".275",29,"6.2",".295"
2022,"Duran, Jarren",111,"L",223,51,"22.9",".277",172,"77.1",".286"
2022,"Cordero, Franchy",111,"L",272,196,"72.1",".298",76,"27.9",".302"
2022,"McGuire, Reese",111,"L",274,165,"60.2",".281",109,"39.8",".322"
2022,"Hosmer, Eric",111,"L",414,69,"16.7",".266",345,"83.3",".322"
2022,"Martinez, J.D.",111,"R",590,53,"9.0",".508",537,"91.0",".325"
2022,"Verdugo, Alex",111,"L",637,150,"23.5",".280",487,"76.5",".335"
2022,"Hernández, Enrique",111,"R",398,212,"53.3",".310",186,"46.7",".240"
2022,"Devers, Rafael",111,"L",598,334,"55.9",".389",264,"44.1",".356"
2022,"Dalbec, Bobby",111,"R",350,104,"29.7",".277",246,"70.3",".295"
2022,"Story, Trevor",111,"R",391,67,"17.1",".366",324,"82.9",".307"
2022,"Bogaerts, Xander",111,"R",625,68,"10.9",".389",557,"89.1",".359"
2022,"Contreras, Willson",112,"R",481,38,"7.9",".232",443,"92.1",".369"
2022,"Reyes, Franmil",112,"R",473,84,"17.8",".352",389,"82.2",".264"
2022,"Morel, Christopher",112,"R",422,104,"24.6",".292",318,"75.4",".336"
2022,"Rivas III, Alfonso",112,"L",286,62,"21.7",".305",224,"78.3",".279"
2022,"Velázquez, Nelson",112,"R",202,56,"27.7",".333",146,"72.3",".277"
2022,"Ortega, Rafael",112,"L",368,173,"47.0",".303",195,"53.0",".308"
2022,"Happ, Ian",112,"L",495,307,"62.0",".330",188,"38.0",".338"
2022,"Schwindel, Frank",112,"R",288,43,"14.9",".242",245,"85.1",".288"
2022,"Wisdom, Patrick",112,"R",527,222,"42.1",".338",305,"57.9",".300"
2022,"McKinstry, Zach",112,"L",185,71,"38.4",".302",114,"61.6",".267"
2022,"Heyward, Jason",112,"L",150,103,"68.7",".290",47,"31.3",".179"
2022,"Fraley, Jake",113,"L",244,180,"73.8",".326",64,"26.2",".424"
2022,"Fairchild, Stuart",113,"R",110,29,"26.4",".351",81,"73.6",".349"
2022,"Garcia, Aramis",113,"R",115,29,"25.2",".253",86,"74.8",".220"
2022,"Moran, Colin",113,"L",128,96,"75.0",".292",32,"25.0",".325"
2022,"India, Jonathan",113,"R",427,124,"29.0",".316",303,"71.0",".314"
2022,"Moustakas, Mike",113,"L",285,230,"80.7",".303",55,"19.3",".215"
2022,"Votto, Joey",113,"L",371,320,"86.3",".311",51,"13.7",".302"
2022,"Farmer, Kyle",113,"R",579,96,"16.6",".379",483,"83.4",".296"
2022,"Aquino, Aristides",113,"R",273,78,"28.6",".303",195,"71.4",".251"
2022,"Friedl, TJ",113,"L",258,83,"32.2",".347",175,"67.8",".312"
2022,"Mercado, Óscar",114,"R",128,28,"21.9",".329",100,"78.1",".248"
2022,"Hedges, Austin",114,"R",338,127,"37.6",".270",211,"62.4",".196"
2022,"Kwan, Steven",114,"L",634,31,"4.9",".317",603,"95.1",".341"
2022,"Naylor, Josh",114,"L",494,381,"77.1",".312",113,"22.9",".396"
2022,"Ramírez, José",114,"R",171,50,"29.2",".240",121,"70.8",".330"
2022,"Giménez, Andrés",114,"L",552,235,"42.6",".320",317,"57.4",".391"
2022,"Ramírez, José",114,"L",494,464,"93.9",".380",30,"6.1",".428"
2022,"Palacios, Richie",114,"L",122,61,"50.0",".225",61,"50.0",".291"
2022,"Serven, Brian",115,"R",205,44,"21.5",".405",161,"78.5",".223"
2022,"Joe, Connor",115,"R",465,66,"14.2",".392",399,"85.8",".302"
2022,"Grichuk, Randal",115,"R",536,76,"14.2",".405",460,"85.8",".300"
2022,"McMahon, Ryan",115,"L",595,281,"47.2",".303",314,"52.8",".348"
2022,"Bryant, Kris",115,"R",179,115,"64.2",".417",64,"35.8",".297"
2022,"Cron, C.J.",115,"R",625,113,"18.1",".420",512,"81.9",".315"
2022,"Blackmon, Charlie",115,"L",571,417,"73.0",".315",154,"27.0",".317"
2022,"Hilliard, Sam",115,"L",200,159,"79.5",".260",41,"20.5",".218"
2022,"Jiménez, Eloy",145,"R",326,29,"8.9",".369",297,"91.1",".371"
2022,"Abreu, José",145,"R",676,36,"5.3",".327",640,"94.7",".362"
2022,"Vaughn, Andrew",145,"R",553,36,"6.5",".460",517,"93.5",".317"
2022,"Sheets, Gavin",145,"L",410,257,"62.7",".283",153,"37.3",".349"
2022,"Moncada, Yoán",145,"L",337,264,"78.3",".233",73,"21.7",".334"
2022,"Grandal, Yasmani",145,"L",282,216,"76.6",".238",66,"23.4",".217"
